,order,method,metric,value,dataName
0,3,CPM4,omega,0.07370695132799594,YeastB
1,3,CPM4,LFK,0.22173508902136518,YeastB
2,3,CPM4,MGH,0.11271379202961657,YeastB
3,4,CPM4,omega,0.32354570637119107,YeastB
4,4,CPM4,LFK,0.40110309578849357,YeastB
5,4,CPM4,MGH,0.22092482265909116,YeastB
6,5,CPM4,omega,0.13607833291488855,YeastB
7,5,CPM4,LFK,0.11522608739422935,YeastB
8,5,CPM4,MGH,0.09315745568399442,YeastB
9,6,CPM4,omega,0.13607833291488855,YeastB
10,6,CPM4,LFK,0.11522608739422935,YeastB
11,6,CPM4,MGH,0.09315745568399442,YeastB
12,7,CPM4,omega,0.1861944943975654,YeastB
13,7,CPM4,LFK,0.13606629696335926,YeastB
14,7,CPM4,MGH,0.12157518163837176,YeastB
0,2,CPM4,omega,0.05277882609766627,YeastA
1,2,CPM4,LFK,0.30431332707817804,YeastA
2,2,CPM4,MGH,0.22694678451472972,YeastA
3,3,CPM4,omega,0.10791942393139917,YeastA
4,3,CPM4,LFK,0.280929840130526,YeastA
5,3,CPM4,MGH,0.22343459283610548,YeastA
6,4,CPM4,omega,0.5785555220408289,YeastA
7,4,CPM4,LFK,0.5466524308852463,YeastA
8,4,CPM4,MGH,0.4997192553589107,YeastA
9,5,CPM4,omega,0.8282369831679259,YeastA
10,5,CPM4,LFK,0.619377123061052,YeastA
11,5,CPM4,MGH,0.6670870766955932,YeastA
0,4,CPM4,omega,0.4029200252956415,Jazz
1,4,CPM4,LFK,0.252767492483603,Jazz
2,4,CPM4,MGH,0.17438632621429218,Jazz
3,5,CPM4,omega,0.0,Jazz
4,5,CPM4,LFK,0.0,Jazz
5,5,CPM4,MGH,0.0,Jazz
6,6,CPM4,omega,0.0,Jazz
7,6,CPM4,LFK,0.0,Jazz
8,6,CPM4,MGH,0.0,Jazz
9,7,CPM4,omega,0.3754280403381082,Jazz
10,7,CPM4,LFK,0.186538589188453,Jazz
11,7,CPM4,MGH,0.16176307397392797,Jazz
12,8,CPM4,omega,0.0,Jazz
13,8,CPM4,LFK,0.0,Jazz
14,8,CPM4,MGH,0.0,Jazz
15,9,CPM4,omega,0.42493666556792486,Jazz
16,9,CPM4,LFK,0.19238782649356678,Jazz
17,9,CPM4,MGH,0.17429827593851152,Jazz
0,5,CPM4,omega,-0.03892244786537587,Copperfield
1,5,CPM4,LFK,0.046097104614368334,Copperfield
2,5,CPM4,MGH,0.014553709969097602,Copperfield
3,6,CPM4,omega,-0.06201247858212878,Copperfield
4,6,CPM4,LFK,0.05717810561945469,Copperfield
5,6,CPM4,MGH,0.027439536301659302,Copperfield
6,7,CPM4,omega,-0.07411479571285633,Copperfield
7,7,CPM4,LFK,0.06403102037038932,Copperfield
8,7,CPM4,MGH,0.03627781465682569,Copperfield
0,3,CPM4,omega,-0.06515322576159994,Bsubtilis
1,3,CPM4,LFK,0.026774446669318164,Bsubtilis
2,3,CPM4,MGH,0.01835473312917816,Bsubtilis
3,4,CPM4,omega,-0.11081170557684275,Bsubtilis
4,4,CPM4,LFK,0.04040948940893807,Bsubtilis
5,4,CPM4,MGH,0.04355865576628581,Bsubtilis
