,method1,method2,metric,value,dataName
89,infomap,multilevel,adjusted_rand,0.3273292661454921,Jazz
90,infomap,multilevel,vi,1.0759261573342151,Jazz
93,infomap,multilevel,rand,0.6483105163308212,Jazz
94,infomap,multilevel,adjusted_rand,0.30990187586636847,Jazz
96,infomap,multilevel,nmi,0.5854627956441314,Jazz
97,infomap,multilevel,split-join,79.0,Jazz
100,infomap,multilevel,vi,0.8800081676395322,Jazz
103,infomap,multilevel,rand,0.7189663128749426,Jazz
105,infomap,multilevel,vi,1.1076839541776242,Jazz
106,infomap,multilevel,nmi,0.5009610197973035,Jazz
108,infomap,multilevel,rand,0.7135312516023178,Jazz
110,infomap,multilevel,vi,0.7878018062129777,Jazz
111,infomap,multilevel,nmi,0.5312851397423245,Jazz
113,infomap,multilevel,rand,0.6560016407732144,Jazz
114,infomap,multilevel,adjusted_rand,0.3873159477575038,Jazz
115,infomap,multilevel,vi,0.9918388386591996,Jazz
116,infomap,multilevel,nmi,0.5295143119202491,Jazz
120,infomap,multilevel,vi,1.0598411684239815,Jazz
124,infomap,multilevel,adjusted_rand,0.41048240766392374,Jazz
125,infomap,multilevel,vi,1.0608560612604847,Jazz
129,infomap,multilevel,adjusted_rand,0.32225186193177807,Jazz
131,infomap,multilevel,nmi,0.5299512720819027,Jazz
132,infomap,multilevel,split-join,76.0,Jazz
133,infomap,multilevel,rand,0.653796851766395,Jazz
0,infomap,multilevel,vi,1.7149871053619796,Copperfield
1,infomap,multilevel,nmi,0.06456120880641447,Copperfield
2,infomap,multilevel,split-join,90.0,Copperfield
3,infomap,multilevel,rand,0.18645431145431152,Copperfield
4,infomap,multilevel,adjusted_rand,0.0002938691031086531,Copperfield
5,infomap,multilevel,vi,1.879674491288152,Copperfield
6,infomap,multilevel,nmi,0.12552261715106586,Copperfield
7,infomap,multilevel,split-join,85.0,Copperfield
8,infomap,multilevel,rand,0.20913770913770918,Copperfield
9,infomap,multilevel,adjusted_rand,0.002907940107907433,Copperfield
10,infomap,multilevel,vi,1.91900087829228,Copperfield
11,infomap,multilevel,nmi,0.06164927795429477,Copperfield
12,infomap,multilevel,split-join,88.0,Copperfield
13,infomap,multilevel,rand,0.19385456885456886,Copperfield
