,order,method,metric,value,dataName
105,5,spinglass,vi,1.988232766291791,Copperfield
106,5,spinglass,nmi,0.15213313381839613,Copperfield
107,5,spinglass,split-join,55.0,Copperfield
108,5,spinglass,rand,0.3391248391248388,Copperfield
109,5,spinglass,adjusted_rand,0.05885932783184941,Copperfield
110,6,spinglass,vi,1.9619840083889102,Copperfield
111,6,spinglass,nmi,0.1779313596161361,Copperfield
112,6,spinglass,split-join,56.0,Copperfield
113,6,spinglass,rand,0.3709781209781208,Copperfield
114,6,spinglass,adjusted_rand,0.08343567638391994,Copperfield
115,7,spinglass,vi,1.991294658533822,Copperfield
116,7,spinglass,nmi,0.18311406837237015,Copperfield
117,7,spinglass,split-join,58.0,Copperfield
118,7,spinglass,rand,0.3986486486486487,Copperfield
119,7,spinglass,adjusted_rand,0.1035725680661389,Copperfield
120,5,walktrap,vi,2.2113832261135262,Copperfield
121,5,walktrap,nmi,0.16415140354181115,Copperfield
122,5,walktrap,split-join,72.0,Copperfield
123,5,walktrap,rand,0.24066924066924059,Copperfield
124,5,walktrap,adjusted_rand,0.033746892477191454,Copperfield
125,6,walktrap,vi,2.169722928615014,Copperfield
126,6,walktrap,nmi,0.1926115722836712,Copperfield
127,6,walktrap,split-join,72.0,Copperfield
128,6,walktrap,rand,0.2731660231660231,Copperfield
129,6,walktrap,adjusted_rand,0.04782323807436574,Copperfield
130,7,walktrap,vi,2.1527989599730324,Copperfield
131,7,walktrap,nmi,0.2138357180550031,Copperfield
132,7,walktrap,split-join,73.0,Copperfield
133,7,walktrap,rand,0.30405405405405406,Copperfield
134,7,walktrap,adjusted_rand,0.061430631233108976,Copperfield
0,3,between,vi,2.3026056221006876,Bsubtilis
1,3,between,nmi,0.12856257958000994,Bsubtilis
2,3,between,split-join,184.0,Bsubtilis
3,3,between,rand,0.23526698502279136,Bsubtilis
4,3,between,adjusted_rand,0.026502704178210417,Bsubtilis
5,4,between,vi,2.255212851054695,Bsubtilis
6,4,between,nmi,0.21272906944139053,Bsubtilis
7,4,between,split-join,189.0,Bsubtilis
8,4,between,rand,0.3342467983503364,Bsubtilis
9,4,between,adjusted_rand,0.0625914248280076,Bsubtilis
10,3,fastgreedy,vi,1.9492235497577086,Bsubtilis
11,3,fastgreedy,nmi,0.11840936164065426,Bsubtilis
12,3,fastgreedy,split-join,184.0,Bsubtilis
13,3,fastgreedy,rand,0.26622530931191657,Bsubtilis
14,3,fastgreedy,adjusted_rand,0.02562809140378658,Bsubtilis
15,4,fastgreedy,vi,1.9294252475377176,Bsubtilis
16,4,fastgreedy,nmi,0.20708063163477525,Bsubtilis
17,4,fastgreedy,split-join,190.0,Bsubtilis
18,4,fastgreedy,rand,0.3612980247449532,Bsubtilis
19,4,fastgreedy,adjusted_rand,0.06935171029539354,Bsubtilis
20,3,infomap,vi,2.652423158909187,Bsubtilis
21,3,infomap,nmi,0.1401867518108553,Bsubtilis
22,3,infomap,split-join,188.0,Bsubtilis
23,3,infomap,rand,0.20759170827002366,Bsubtilis
24,3,infomap,adjusted_rand,0.023787115624901614,Bsubtilis
25,4,infomap,vi,2.462572940105895,Bsubtilis
26,4,infomap,nmi,0.2553838465540207,Bsubtilis
27,4,infomap,split-join,183.0,Bsubtilis
28,4,infomap,rand,0.3127577599305403,Bsubtilis
29,4,infomap,adjusted_rand,0.05788393561710104,Bsubtilis
30,3,labelprop,vi,1.7279370459625147,Bsubtilis
31,3,labelprop,nmi,0.18141373011442888,Bsubtilis
32,3,labelprop,split-join,132.0,Bsubtilis
33,3,labelprop,rand,0.3709301063598871,Bsubtilis
34,3,labelprop,adjusted_rand,0.06024274075968485,Bsubtilis
35,4,labelprop,vi,1.834442293860177,Bsubtilis
36,4,labelprop,nmi,0.21375463525610225,Bsubtilis
37,4,labelprop,split-join,144.0,Bsubtilis
38,4,labelprop,rand,0.41846646407640553,Bsubtilis
39,4,labelprop,adjusted_rand,0.069098050610185,Bsubtilis
40,3,eigen,vi,2.153203654630774,Bsubtilis
41,3,eigen,nmi,0.11777556229897296,Bsubtilis
42,3,eigen,split-join,192.0,Bsubtilis
43,3,eigen,rand,0.23429021054916438,Bsubtilis
44,3,eigen,adjusted_rand,0.02180127454227772,Bsubtilis
45,4,eigen,vi,2.258589746744621,Bsubtilis
46,4,eigen,nmi,0.15184387939317595,Bsubtilis
47,4,eigen,split-join,204.0,Bsubtilis
48,4,eigen,rand,0.3220371174299978,Bsubtilis
49,4,eigen,adjusted_rand,0.04264404042570711,Bsubtilis
50,3,leiden,vi,5.311766265023047,Bsubtilis
