,order,method,metric,value,dataName
14,3,CPM4,MGH,0.014574208793630214,Dolphins
15,7,CPM4,omega,0.02614511552492904,Dolphins
16,7,CPM4,LFK,0.18869754221307122,Dolphins
17,7,CPM4,MGH,0.15412896878774257,Dolphins
18,8,CPM4,omega,0.03347021841043716,Dolphins
19,8,CPM4,LFK,0.1657538457429908,Dolphins
20,8,CPM4,MGH,0.17484852281912772,Dolphins
21,9,CPM4,omega,0.200446148687069,Dolphins
22,9,CPM4,LFK,0.21609863237235594,Dolphins
23,9,CPM4,MGH,0.24390028166684893,Dolphins
24,3,CPM5,omega,-0.048755218636007985,Dolphins
25,3,CPM5,LFK,0.022793017926968195,Dolphins
26,3,CPM5,MGH,0.01044829220320388,Dolphins
27,7,CPM5,omega,0.06430446194225715,Dolphins
28,7,CPM5,LFK,0.14131916286231316,Dolphins
29,7,CPM5,MGH,0.11342959462334135,Dolphins
30,8,CPM5,omega,0.055926132816350775,Dolphins
31,8,CPM5,LFK,0.15394471309120683,Dolphins
32,8,CPM5,MGH,0.0984736279842996,Dolphins
33,9,CPM5,omega,0.13974615558266237,Dolphins
34,9,CPM5,LFK,0.1510347343372903,Dolphins
35,9,CPM5,MGH,0.08944603519039829,Dolphins
36,3,CPM6,omega,0.0,Dolphins
37,3,CPM6,LFK,1.1102230246251565e-16,Dolphins
38,3,CPM6,MGH,0.0,Dolphins
39,7,CPM6,omega,0.0,Dolphins
40,7,CPM6,LFK,0.0,Dolphins
41,7,CPM6,MGH,0.0,Dolphins
42,8,CPM6,omega,0.0,Dolphins
43,8,CPM6,LFK,0.0,Dolphins
44,8,CPM6,MGH,0.0,Dolphins
45,9,CPM6,omega,0.0,Dolphins
46,9,CPM6,LFK,0.0,Dolphins
47,9,CPM6,MGH,0.0,Dolphins
