,method1,method2,metric,value,dataName
86,infomap,multilevel,nmi,0.5494546738355843,Jazz
88,infomap,multilevel,rand,0.654463415884736,Jazz
89,infomap,multilevel,adjusted_rand,0.35527699789283534,Jazz
91,infomap,multilevel,nmi,0.5535210729071448,Jazz
94,infomap,multilevel,adjusted_rand,0.3178041747006526,Jazz
97,infomap,multilevel,split-join,89.0,Jazz
98,infomap,multilevel,rand,0.6528226426703585,Jazz
102,infomap,multilevel,split-join,95.0,Jazz
106,infomap,multilevel,nmi,0.5506961852552416,Jazz
111,infomap,multilevel,nmi,0.5838441717253341,Jazz
113,infomap,multilevel,rand,0.6606163154386506,Jazz
115,infomap,multilevel,vi,0.792358310918833,Jazz
116,infomap,multilevel,nmi,0.5026808361262547,Jazz
118,infomap,multilevel,rand,0.6498487412192999,Jazz
119,infomap,multilevel,adjusted_rand,0.3467116263773451,Jazz
121,infomap,multilevel,nmi,0.528705166633395,Jazz
124,infomap,multilevel,adjusted_rand,0.3191457010413032,Jazz
125,infomap,multilevel,vi,1.0206953157594345,Jazz
126,infomap,multilevel,nmi,0.5034829015856241,Jazz
130,infomap,multilevel,vi,0.9154644153727465,Jazz
131,infomap,multilevel,nmi,0.6104148547368544,Jazz
133,infomap,multilevel,rand,0.7179921037789061,Jazz
134,infomap,multilevel,adjusted_rand,0.33811992467094026,Jazz
0,infomap,multilevel,vi,1.9496680126956392,Copperfield
1,infomap,multilevel,nmi,0.06761334483002616,Copperfield
2,infomap,multilevel,split-join,86.0,Copperfield
3,infomap,multilevel,rand,0.2133204633204632,Copperfield
4,infomap,multilevel,adjusted_rand,0.02037477211363166,Copperfield
5,infomap,multilevel,vi,1.923339368575115,Copperfield
6,infomap,multilevel,nmi,0.06680272752588322,Copperfield
7,infomap,multilevel,split-join,84.0,Copperfield
8,infomap,multilevel,rand,0.19305019305019316,Copperfield
9,infomap,multilevel,adjusted_rand,0.0030740651709251746,Copperfield
10,infomap,multilevel,vi,1.8855649509225674,Copperfield
11,infomap,multilevel,nmi,0.061276402213790555,Copperfield
